DBN,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS GRADE
03M299,2.15,B1,C2,A3,C4
03M307,2.19,A1,B2,B3,A4
03M333,24.69,C1,B2,F3,D4
03M334,6.5,A1,A2,A3,A4
03M415,2.08,B1,F2,A3,C4
03M415,2.41,C1,F2,C3,B4
03M479,3.51,A1,B2,C3,A4
03M485,3.64,A1,C2,A3,A4
03M492,2.33,A1,C2,B3,A4
03M494,2.34,B1,D2,B3,B4
03M505,1.94,B1,C2,C3,C4
03M541,3.26,B1,A2,A3,C4
03M577,,C1,F2,B3,C4
03M859,8,A1,B2,A3,A4
03M860,2.28,C1,C2,A3,D4
03M860,2.35,C1,D2,D3,F4
03M862,3.07,A1,A2,B3,A4
04M007,58.46,A1,B2,C3,A4
04M012,39.33,A1,A2,A3,B4
04M013,2.13,C1,D2,D3,D4
04M037,61.02,B1,A2,C3,A4
04M038,63.08,C1,C2,D3,C4
04M045,2.19,C1,B2,F3,C4
04M050,63.78,C1,C2,D3,D4
04M057,62.56,A1,A2,A3,A4
04M072,65.94,A1,A2,C3,B4
04M083,59.17,A1,A2,A3,A4
04M096,63.09,C1,D2,D3,C4
04M102,74.03,A1,A2,B3,A4
04M108,61.42,B1,A2,B3,C4
04M112,64.23,B1,A2,B3,A4
04M146,73.23,C1,C2,F3,D4
04M155,69.02,B1,A2,D3,B4
04M171,57.4,A1,A2,A3,A4
04M182,63.96,A1,A2,A3,A4
04M206,64.11,C1,B2,C3,C4
04M224,3.43,C1,B2,C3,C4
04M372,1.99,A1,A2,D3,A4
04M375,67.68,B1,B2,F3,A4
04M377,2.11,A1,B2,C3,A4
04M381,2.08,C1,B2,F3,B4
04M409,2.2,C1,B2,D3,C4
04M435,3.1,B1,D2,B3,B4
04M495,2.09,A1,A2,A3,A4
04M497,37.83,C1,A2,F3,F4
04M555,2.53,A1,A2,D3,A4
04M610,3.05,A1,A2,A3,B4
04M610,3.37,C1,A2,D3,F4
04M635,2.06,F1,D2,F3,F4
04M680,2.13,C1,F2,B3,C4
04M825,2.84,C1,B2,D3,F4
04M964,49.09,B1,A2,D3,B4
05M030,66.85,A1,A2,C3,A4
05M036,57.64,B1,B2,D3,B4
05M046,62.45,C1,B2,C3,C4
05M092,62.65,B1,A2,D3,C4
05M123,60.69,C1,B2,D3,D4
05M125,60.88,B1,C2,F3,B4
05M129,59.58,B1,B2,D3,B4
05M133,62.49,C1,D2,F3,B4
05M154,65,C1,B2,D3,C4
05M161,66.35,B1,A2,C3,B4
05M175,59.22,B1,B2,C3,A4
05M194,65.87,C1,D2,F3,B4
05M195,2.35,D1,D2,D3,D4
05M197,58.68,B1,A2,C3,B4
05M200,59.82,B1,D2,D3,B4
05M285,2.15,C1,C2,F3,C4
05M286,2.53,C1,A2,D3,D4
05M302,2.76,B1,A2,C3,B4
05M304,2.53,B1,B2,A3,B4
05M317,2.14,D1,D2,D3,D4
05M318,47.59,C1,A2,D3,C4
05M344,2.25,F1,D2,F3,F4
05M362,3.84,C1,C2,B3,F4
05M367,2.46,B1,B2,D3,B4
05M369,2.46,A1,F2,B3,A4
05M469,2.43,B1,C2,C3,A4
05M469,2.4,C1,C2,D3,C4
05M499,3.14,D1,F2,D3,F4
05M499,3.02,C1,F2,C3,B4
05M670,2.66,B1,B2,C3,B4
05M670,2.9,D1,A2,D3,F4
05M685,2.03,D1,D2,D3,D4
05M692,3.76,A1,B2,A3,A4
06M004,65.56,B1,B2,D3,B4
06M005,66.31,B1,B2,C3,A4
06M008,68.56,A1,A2,D3,A4
06M018,63.4,B1,A2,C3,B4
06M028,64.93,A1,A2,C3,A4
06M048,67.12,B1,A2,C3,B4
06M052,2.59,A1,A2,C3,A4
06M098,68.39,B1,C2,D3,B4
06M115,67.01,C1,B2,D3,F4
06M128,66,B1,A2,D3,B4
06M132,68.59,B1,B2,D3,B4
06M143,2.34,B1,B2,D3,B4
06M152,64.22,B1,D2,C3,B4
06M153,63.46,A1,A2,B3,A4
06M173,58.51,B1,D2,C3,A4
06M178,51.95,B1,A2,B3,B4
06M187,42.09,A1,A2,C3,A4
06M189,66.66,A1,A2,C3,A4
06M192,65.84,C1,B2,D3,B4
06M210,66.04,B1,A2,C3,C4
06M218,2.38,B1,C2,D3,A4
06M223,3.68,A1,B2,A3,A4
06M278,55.54,B1,A2,C3,B4
06M293,2.68,A1,A2,B3,A4
06M311,51.76,A1,A2,B3,A4
06M314,43.41,B1,F2,F3,A4
06M319,2.49,A1,A2,C3,A4
06M322,2.58,B1,B2,C3,B4
06M324,2.46,A1,A2,C3,A4
06M325,66.89,C1,B2,D3,F4
06M326,2.24,A1,A2,C3,A4
06M328,2.25,B1,B2,D3,B4
06M346,2.36,C1,C2,D3,C4
06M348,2.47,B1,A2,C3,B4
06M349,2.09,A1,A2,D3,A4
