DBN,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS GRADE
14K019,60.27,D1,A2,F3,D4
14K023,64.18,A1,A2,D3,A4
14K031,40.14,A1,A2,A3,A4
14K034,30.81,B1,A2,B3,B4
14K050,2.32,B1,C2,D3,B4
14K059,61.93,C1,C2,F3,F4
14K071,1.89,C1,B2,B3,C4
14K071,2.26,B1,B2,D3,B4
14K084,61.4,C1,A2,F3,D4
14K110,35.1,C1,A2,C3,F4
14K120,64.19,C1,A2,D3,C4
14K126,2.3,B1,C2,D3,B4
14K132,44.67,B1,A2,C3,B4
14K147,64.17,A1,A2,C3,A4
14K157,65.03,B1,A2,C3,B4
14K196,61.46,A1,A2,B3,B4
14K250,50.61,B1,A2,C3,B4
14K257,64.51,A1,A2,B3,A4
14K297,62.82,C1,B2,F3,B4
14K318,3.27,C1,A2,D3,D4
14K322,2.06,B1,D2,A3,B4
14K330,2.38,C1,B2,D3,B4
14K380,59.38,A1,A2,A3,A4
14K404,2.51,A1,B2,A3,B4
14K449,3.63,B1,A2,A3,C4
14K454,2.3,C1,C2,D3,D4
14K474,2.43,B1,D2,D3,C4
14K477,2.53,D1,F2,F3,D4
14K478,2.54,A1,B2,A3,B4
14K488,2.41,A1,A2,A3,C4
14K558,2.45,A1,A2,B3,A4
14K561,2.64,A1,A2,A3,A4
14K577,2.99,B1,A2,C3,C4
14K582,2.59,B1,B2,C3,B4
14K586,2.51,C1,B2,F3,F4
14K610,2.02,C1,F2,C3,C4
14K614,2.54,C1,A2,D3,C4
14K685,2.09,A1,A2,A3,A4
14K923,,B1,B2,B3,B4
15K001,60.68,C1,A2,C3,C4
15K010,45.88,A1,A2,C3,B4
15K015,66.33,A1,A2,B3,A4
15K024,65.46,C1,A2,D3,B4
15K029,20.71,A1,B2,B3,B4
15K032,60.99,A1,A2,C3,A4
15K038,51.1,C1,D2,D3,D4
15K039,28.18,B1,B2,C3,B4
15K051,3.48,A1,B2,B3,B4
15K058,20.61,A1,B2,D3,A4
15K088,2.54,B1,B2,C3,B4
15K094,49.23,B1,C2,C3,B4
15K107,16.88,A1,B2,B3,A4
15K124,57.49,A1,B2,B3,A4
15K130,49.45,B1,B2,B3,B4
15K131,53.74,A1,A2,C3,A4
15K136,2.35,C1,B2,D3,B4
15K146,29.81,B1,A2,C3,B4
15K154,23.57,C1,B2,C3,C4
15K169,51.07,B1,A2,D3,B4
15K172,62.7,A1,A2,A3,A4
15K230,37.38,C1,A2,C3,C4
15K261,33.07,B1,B2,C3,B4
15K295,48.42,A1,A2,C3,A4
15K321,15.07,A1,A2,B3,A4
15K418,16.12,A1,B2,B3,A4
15K429,2.24,F1,D2,C3,F4
15K429,2.22,B1,D2,C3,B4
15K442,1.91,B1,A2,C3,A4
15K443,2.98,A1,A2,A3,A4
15K447,3.25,A1,B2,A3,A4
15K448,2.14,A1,B2,A3,C4
15K448,2.47,B1,B2,C3,B4
15K462,2.51,C1,C2,C3,C4
15K462,2.15,C1,C2,D3,C4
15K463,2.34,B1,C2,B3,A4
15K463,2.43,C1,C2,D3,D4
15K464,2.28,C1,B2,B3,F4
15K464,2.19,B1,C2,C3,B4
15K497,2.31,B1,D2,B3,A4
15K497,2.44,A1,D2,C3,A4
15K519,1.93,B1,C2,C3,B4
15K520,2.11,C1,A2,D3,C4
15K529,2.43,A1,A2,B3,B4
15K530,2.03,C1,C2,F3,D4
15K656,2.87,C1,C2,D3,B4
15K698,2.35,C1,A2,F3,C4
15K821,2.86,A1,B2,B3,A4
16K005,60.67,B1,C2,C3,A4
16K021,54.57,A1,A2,B3,A4
16K025,62.84,C1,D2,D3,C4
16K026,59.8,C1,B2,C3,C4
16K028,59.27,B1,A2,D3,A4
16K035,2.34,A1,A2,C3,A4
16K040,59.56,A1,B2,C3,A4
16K057,2.43,C1,A2,D3,B4
16K081,62.53,B1,B2,C3,C4
16K243,63.97,C1,B2,D3,F4
16K262,62.09,A1,A2,A3,A4
16K267,2.2,B1,B2,C3,B4
16K308,57.01,C1,D2,D3,B4
16K309,60.65,C1,A2,D3,C4
16K335,65.55,B1,C2,B3,B4
16K385,2.13,A1,C2,B3,A4
16K393,2.44,B1,D2,A3,B4
16K393,2.71,F1,D2,D3,F4
16K455,1.79,C1,D2,F3,C4
16K498,1.97,A1,A2,B3,A4
16K534,2.13,C1,F2,D3,B4
16K584,2.38,C1,C2,F3,F4
16K627,59.9,D1,A2,F3,C4
16K636,65.29,A1,A2,D3,A4
17K002,2.36,B1,A2,C3,B4
17K006,60.87,B1,A2,C3,A4
17K012,62.04,B1,C2,C3,B4
17K022,64.98,C1,F2,D3,F4
17K061,2.96,C1,C2,F3,D4
17K091,66.08,C1,B2,C3,D4
17K092,61.48,C1,B2,D3,D4
17K138,61.43,A1,A2,B3,A4
17K161,55.98,C1,C2,C3,F4
17K167,64.61,C1,C2,D3,D4
17K181,56.46,C1,D2,C3,C4
17K189,59.69,B1,A2,B3,C4
17K191,64.38,C1,B2,D3,C4
17K221,60.84,C1,B2,D3,C4
17K241,60.87,C1,B2,B3,F4
17K246,2.19,B1,B2,D3,B4
17K249,61.1,A1,A2,A3,A4
17K289,59.8,B1,D2,C3,A4
17K316,61.5,A1,C2,B3,A4
17K334,2,B1,C2,D3,B4
17K340,3.44,B1,C2,D3,B4
17K352,2.35,B1,C2,D3,B4
17K353,2.14,A1,B2,C3,A4
17K354,2.12,A1,B2,B3,A4
17K375,60.43,B1,A2,D3,B4
17K382,2.51,B1,F2,A3,D4
17K382,2.86,D1,D2,D3,D4
17K394,57.04,C1,A2,C3,C4
17K397,61.16,B1,A2,D3,B4
17K398,65.36,B1,D2,B3,A4
17K399,57.33,A1,A2,A3,A4
17K408,2.35,D1,F2,B3,D4
17K467,,B1,D2,B3,C4
17K484,2.48,C1,B2,C3,C4
17K489,2.29,C1,C2,B3,C4
17K524,2.15,B1,A2,D3,B4
17K528,2.28,C1,D2,B3,C4
17K531,2.21,A1,A2,A3,B4
17K531,2.71,B1,A2,D3,B4
17K533,2.26,C1,D2,A3,C4
17K533,2.69,C1,C2,F3,B4
17K537,2.15,C1,C2,C3,C4
17K539,2.12,A1,A2,A3,A4
17K543,3.23,A1,A2,A3,A4
17K543,3.39,C1,A2,F3,C4
17K544,2.27,C1,C2,B3,D4
17K546,2.98,A1,A2,A3,A4
17K547,2.45,A1,A2,A3,B4
17K548,2.45,A1,B2,A3,B4
17K568,2.43,B1,A2,F3,A4
17K587,2.4,C1,B2,F3,F4
17K590,3.32,B1,C2,B3,A4
17K590,3.79,B1,B2,C3,B4
17K600,2.55,C1,B2,C3,C4
17K625,1.83,C1,D2,C3,B4
18K066,50.1,A1,A2,B3,B4
18K068,2.5,C1,C2,D3,B4
18K114,53.34,D1,F2,F3,D4
18K115,52.55,B1,A2,C3,B4
18K135,58.06,B1,A2,C3,B4
18K208,53.52,B1,A2,C3,B4
18K211,2.6,B1,B2,C3,B4
18K219,60.32,C1,B2,C3,C4
18K233,57.39,C1,C2,C3,C4
18K235,48.76,B1,B2,A3,B4
18K244,54.95,B1,B2,C3,A4
18K268,59.72,C1,A2,D3,C4
18K272,60.88,C1,C2,D3,B4
18K276,54.18,C1,B2,C3,C4
18K279,54.4,C1,B2,C3,C4
18K285,2.91,C1,D2,D3,C4
18K501,,C1,C2,C3,C4
18K578,2.19,C1,C2,D3,C4
18K581,2.34,C1,F2,D3,F4
18K588,2.52,C1,D2,D3,C4
18K598,2.6,C1,B2,C3,C4
18K922,,C1,B2,B3,D4
19K007,59.34,B1,B2,C3,B4
19K013,61.11,C1,B2,D3,C4
19K065,57.04,A1,A2,A3,A4
19K089,63.11,B1,A2,D3,B4
19K108,58,B1,A2,C3,B4
19K149,63.5,C1,C2,C3,C4
19K158,60.01,C1,B2,D3,C4
19K159,49.76,C1,C2,D3,C4
19K166,2.27,C1,C2,D3,B4
19K171,2.89,C1,C2,F3,B4
19K174,58.42,C1,B2,F3,C4
19K190,61.38,A1,B2,B3,A4
19K202,60.65,C1,C2,D3,F4
19K213,60.65,C1,B2,C3,D4
19K214,48.35,B1,B2,D3,B4
19K218,2.56,B1,C2,C3,A4
19K224,58.34,B1,C2,D3,B4
19K260,60.61,D1,F2,F3,D4
19K273,57.07,C1,A2,C3,D4
19K290,58.71,B1,A2,C3,B4
19K292,2.64,C1,C2,C3,B4
19K302,2.74,D1,D2,F3,C4
19K306,60.24,B1,D2,D3,B4
19K311,2.77,B1,B2,D3,B4
19K328,65.26,B1,D2,D3,B4
19K345,61.94,B1,D2,C3,B4
19K346,50.85,C1,D2,D3,C4
19K364,2.89,B1,B2,C3,B4
19K409,2.93,B1,C2,B3,B4
19K409,3.43,B1,B2,B3,B4
19K431,,B1,F2,B3,B4
19K452,3.26,B1,B2,D3,B4
19K502,2.16,C1,C2,D3,B4
19K504,2.22,B1,C2,C3,B4
19K507,2.2,B1,F2,A3,C4
19K510,2.27,B1,D2,B3,B4
19K615,2.51,B1,C2,B3,C4
19K659,2.49,F1,C2,F3,F4
19K660,1.78,B1,D2,F3,B4
20K030,3.1,A1,B2,B3,A4
20K048,36.11,B1,B2,B3,B4
20K062,2.54,A1,A2,C3,A4
20K069,37.32,A1,A2,C3,A4
20K102,33.23,B1,B2,B3,B4
20K104,26.87,A1,A2,C3,B4
20K105,34.11,A1,A2,B3,A4
20K112,31.71,B1,A2,C3,B4
20K127,35.55,D1,B2,D3,D4
20K160,39.57,B1,A2,C3,B4
20K163,35.78,A1,A2,C3,A4
20K164,55.23,A1,A2,B3,A4
20K170,35.87,B1,B2,C3,B4
20K176,31.47,A1,A2,B3,A4
20K179,44.57,C1,B2,D3,B4
20K180,30.55,B1,A2,D3,B4
20K185,21.11,C1,B2,C3,B4
20K186,32.66,B1,B2,C3,A4
20K187,3.95,A1,A2,A3,A4
20K192,53.11,A1,B2,D3,A4
20K200,29.01,B1,D2,C3,B4
20K201,3.27,A1,B2,B3,B4
20K204,26.4,A1,A2,C3,A4
20K205,39.46,B1,B2,C3,B4
20K220,2.8,B1,B2,D3,A4
20K223,2.62,B1,B2,C3,A4
20K227,2.9,B1,C2,C3,B4
20K229,20.71,B1,B2,B3,B4
20K247,30.07,A1,B2,B3,A4
20K259,3.12,A1,A2,B3,A4
20K445,2.35,B1,B2,B3,B4
20K485,2.58,A1,A2,A3,B4
20K490,2.59,B1,A2,C3,B4
20K503,58.81,B1,A2,D3,B4
20K505,2.29,B1,B2,C3,B4
20K506,54.32,B1,A2,D3,B4
20K609,2.92,B1,B2,C3,B4
20K658,,A1,B2,B3,B4
21K090,54.97,B1,B2,D3,B4
21K095,40.01,C1,D2,F3,B4
21K096,2.83,B1,C2,C3,B4
21K097,29.88,A1,A2,C3,A4
21K098,3.64,A1,B2,B3,A4
21K099,40.92,A1,A2,C3,A4
21K100,29.67,B1,B2,B3,B4
21K101,29.5,B1,A2,B3,B4
21K121,45.12,A1,A2,C3,B4
21K128,35.29,B1,A2,F3,A4
21K153,38.36,B1,B2,C3,B4
21K177,37.55,A1,B2,B3,A4
21K188,54.89,C1,A2,D3,C4
21K199,34.33,B1,B2,B3,A4
21K209,33.97,C1,B2,C3,C4
21K212,43.14,B1,A2,C3,B4
21K215,29.64,C1,B2,C3,C4
21K216,32.81,B1,B2,B3,A4
21K225,40.3,A1,B2,C3,A4
21K226,41.22,A1,A2,B3,A4
21K228,3.06,C1,C2,C3,C4
21K238,51.64,B1,A2,D3,B4
21K239,3.82,A1,A2,A3,A4
21K253,47.23,A1,A2,C3,B4
21K281,3.02,B1,B2,C3,B4
21K288,62.28,A1,C2,D3,A4
21K303,2.94,B1,B2,B3,B4
21K329,60.76,C1,A2,C3,C4
21K337,2.05,C1,A2,F3,C4
21K344,2.57,B1,F2,C3,C4
21K348,2.36,B1,B2,A3,B4
21K410,2.53,C1,C2,F3,C4
21K411,,B1,B2,B3,B4
21K468,2.99,B1,B2,C3,B4
21K525,2.75,A1,B2,B3,C4
21K540,2.65,C1,F2,D3,C4
21K620,2.02,D1,D2,C3,D4
21K690,2.5,A1,C2,B3,C4
21K690,2.95,A1,B2,A3,A4
21K728,2.32,A1,A2,A3,A4
22K014,2.42,C1,B2,C3,B4
22K052,37.3,B1,B2,D3,B4
22K078,2.84,C1,C2,C3,C4
22K109,59.99,B1,B2,D3,B4
22K119,48.56,B1,A2,C3,B4
22K134,52.2,A1,A2,A3,A4
22K139,51.56,C1,B2,D3,D4
22K152,53.19,C1,A2,C3,D4
22K193,44.35,B1,A2,B3,B4
22K194,55.35,C1,B2,C3,C4
22K195,11.09,A1,B2,B3,A4
22K197,41.82,A1,A2,C3,A4
22K198,52.47,C1,C2,D3,C4
22K203,55.65,C1,B2,D3,C4
22K206,27.19,A1,B2,B3,A4
22K207,28.01,C1,A2,C3,C4
22K217,41.41,B1,A2,C3,B4
22K222,28.68,A1,A2,A3,A4
22K234,3.49,B1,B2,C3,B4
22K236,22.73,B1,A2,C3,C4
22K240,3,B1,D2,D3,B4
22K245,58.77,A1,A2,C3,A4
22K251,56.06,C1,C2,D3,B4
22K254,30.26,A1,A2,A3,B4
22K255,33.7,A1,A2,B3,A4
22K269,60.09,C1,A2,D3,D4
22K277,18.87,A1,A2,B3,B4
22K278,3.01,D1,A2,F3,D4
22K312,29.61,C1,A2,B3,D4
22K315,54.18,B1,A2,C3,B4
22K361,56.47,C1,B2,F3,C4
22K381,3.07,C1,B2,D3,C4
22K405,3.16,B1,C2,B3,C4
22K425,2.72,B1,A2,C3,C4
22K495,2.21,C1,C2,C3,C4
22K535,3.54,B1,C2,B3,A4
22K555,3.27,A1,A2,B3,A4
22K555,3.47,B1,A2,D3,A4
23K041,61.7,C1,F2,D3,B4
23K073,61.77,C1,B2,D3,C4
23K137,62.63,D1,D2,D3,D4
23K150,66.85,C1,D2,D3,C4
23K155,65.59,B1,A2,C3,B4
23K156,56.4,C1,B2,D3,D4
23K165,57.83,C1,C2,F3,B4
23K178,62.56,B1,B2,C3,C4
23K184,61.84,C1,D2,D3,B4
23K284,62.67,C1,B2,D3,C4
23K298,62.86,C1,F2,F3,C4
23K323,59.29,B1,A2,D3,B4
23K327,57.98,C1,D2,D3,C4
23K332,61.43,F1,D2,F3,F4
23K392,3.66,B1,B2,B3,B4
23K493,2.25,C1,B2,B3,C4
23K493,3.12,D1,D2,F3,F4
23K514,2.38,B1,B2,A3,B4
23K518,2.63,C1,B2,C3,C4
23K522,3.23,C1,C2,F3,F4
23K631,61.89,D1,D2,D3,C4
23K634,2.24,D1,C2,F3,D4
23K643,2.23,A1,A2,C3,A4
23K644,2.68,A1,A2,C3,A4
23K646,2.21,F1,F2,F3,D4
23K647,2.24,C1,B2,A3,D4
23K697,2.36,A1,B2,A3,A4
23K697,3.2,C1,C2,D3,C4
24Q005,2.96,A1,B2,B3,A4
24Q007,43.95,B1,B2,B3,B4
24Q012,41.84,A1,A2,B3,A4
24Q013,44.49,B1,A2,B3,B4
24Q014,56.04,A1,A2,C3,A4
24Q016,56.98,B1,A2,B3,B4
24Q019,59.2,B1,B2,B3,B4
24Q028,62.35,A1,A2,A3,A4
24Q049,22.9,C1,C2,C3,B4
24Q058,32.68,A1,B2,B3,A4
24Q061,2.8,B1,B2,D3,A4
24Q068,54.43,B1,B2,C3,B4
24Q071,37.4,C1,F2,D3,B4
24Q073,2.98,A1,C2,B3,A4
24Q077,2.74,B1,B2,C3,B4
24Q081,55.46,A1,A2,C3,B4
24Q087,40.04,A1,A2,D3,A4
24Q088,41.72,C1,B2,D3,C4
24Q089,57.28,A1,A2,B3,A4
24Q091,41.4,B1,C2,D3,B4
24Q093,2.83,B1,C2,B3,A4
24Q102,36.06,A1,A2,C3,B4
24Q113,30.2,A1,A2,A3,B4
24Q119,3.22,C1,D2,C3,D4
24Q125,3.1,B1,B2,C3,B4
24Q128,15.88,A1,A2,B3,A4
24Q143,61.92,C1,B2,B3,D4
24Q153,35.75,A1,B2,C3,A4
24Q199,47.79,B1,A2,C3,B4
24Q229,34.02,A1,A2,B3,A4
24Q239,57.61,B1,A2,C3,B4
24Q264,2.82,A1,B2,A3,A4
24Q267,2.46,A1,A2,A3,A4
24Q299,3.7,A1,A2,A3,A4
24Q455,2.35,C1,C2,D3,C4
24Q457,,D1,C2,F3,F4
24Q485,2.38,B1,B2,D3,B4
24Q520,2.58,B1,B2,A3,C4
24Q530,2.63,A1,A2,C3,B4
24Q550,2.52,A1,A2,B3,A4
24Q560,2.65,C1,C2,F3,C4
24Q560,3.72,A1,B2,A3,A4
24Q600,2.58,A1,A2,C3,B4
24Q610,3.05,A1,B2,B3,B4
24Q744,2.54,B1,A2,D3,C4
24Q877,41.62,A1,A2,A3,A4
25Q020,39.45,B1,B2,B3,A4
25Q021,34.76,B1,A2,B3,B4
25Q022,37.53,A1,B2,C3,A4
25Q024,33.64,A1,A2,B3,A4
25Q025,3.29,B1,B2,C3,C4
25Q029,41.7,B1,B2,C3,B4
25Q032,24.81,A1,A2,B3,A4
25Q079,20.32,C1,D2,D3,B4
25Q107,28.99,B1,A2,C3,B4
25Q120,33.12,A1,B2,C3,A4
25Q129,37.49,B1,A2,B3,C4
25Q130,18.02,A1,A2,A3,A4
25Q154,35.84,C1,B2,B3,C4
25Q163,31.39,B1,C2,D3,B4
25Q164,32.89,A1,C2,B3,A4
25Q165,36.73,B1,D2,B3,B4
25Q169,18.4,C1,A2,D3,C4
25Q184,21.47,A1,A2,C3,B4
25Q185,3.22,A1,C2,B3,B4
25Q189,3.18,B1,A2,D3,B4
25Q193,16.62,C1,D2,F3,F4
25Q194,3.29,A1,C2,B3,B4
25Q200,41.19,B1,B2,C3,B4
25Q201,56.38,A1,B2,D3,A4
25Q209,16,A1,A2,A3,A4
25Q214,37.84,A1,A2,B3,A4
25Q219,46.73,A1,B2,B3,A4
25Q237,3.04,A1,B2,B3,B4
25Q242,27.28,A1,B2,A3,A4
25Q250,3,C1,D2,D3,B4
25Q252,3.21,A1,A2,B3,A4
25Q263,2.45,B1,A2,D3,B4
25Q281,2.93,A1,F2,B3,A4
25Q281,3.48,A1,D2,B3,A4
25Q285,2.82,A1,C2,A3,B4
25Q285,3.04,C1,B2,B3,D4
25Q294,3.18,A1,A2,B3,A4
25Q425,2.45,B1,C2,C3,B4
25Q460,2.45,C1,C2,D3,C4
25Q467,,A1,D2,A3,A4
25Q499,29.81,A1,B2,B3,A4
25Q525,3.98,A1,A2,A3,A4
25Q540,2.4,C1,D2,F3,C4
25Q670,2.7,D1,D2,C3,D4
25Q792,2.31,B1,A2,C3,B4
26Q018,22.1,A1,A2,B3,B4
26Q026,26.21,A1,B2,C3,A4
26Q031,27.05,A1,B2,B3,A4
26Q041,15.01,A1,A2,A3,A4
26Q046,23.57,A1,A2,A3,A4
26Q067,3.59,B1,B2,B3,B4
26Q074,3.52,A1,B2,B3,A4
26Q094,14.92,B1,A2,B3,B4
26Q098,8.1,B1,B2,B3,A4
26Q115,24.82,B1,B2,C3,B4
26Q133,27.85,A1,A2,A3,A4
26Q158,3.4,B1,C2,B3,B4
26Q159,21.45,A1,A2,A3,A4
26Q162,18.2,B1,A2,B3,B4
26Q172,3.33,B1,D2,B3,B4
26Q173,19.44,A1,A2,A3,B4
26Q178,18.08,B1,B2,C3,B4
26Q186,22.65,B1,A2,B3,B4
26Q188,11.76,A1,A2,A3,A4
26Q191,18.18,A1,A2,A3,A4
26Q203,15.45,A1,A2,A3,A4
26Q205,15.6,A1,A2,A3,A4
26Q213,21.84,A1,A2,B3,B4
26Q216,3.43,A1,C2,B3,A4
26Q221,14.8,A1,A2,A3,B4
26Q266,20.08,B1,B2,B3,C4
26Q415,3.03,B1,C2,B3,C4
26Q430,2.92,B1,B2,B3,B4
26Q435,2.38,C1,F2,B3,C4
26Q495,3.08,B1,B2,B3,C4
26Q566,2.8,B1,C2,B3,B4
27Q042,58.71,C1,C2,F3,C4
27Q043,58.98,C1,B2,D3,B4
27Q045,53.15,B1,C2,C3,A4
27Q047,20.9,A1,A2,B3,A4
27Q053,2.33,C1,D2,D3,B4
27Q056,36.87,B1,A2,B3,C4
27Q060,46.97,A1,B2,B3,A4
27Q062,32.59,C1,B2,D3,C4
27Q063,42.39,A1,B2,B3,B4
27Q064,40.04,C1,A2,C3,D4
27Q065,42.33,C1,B2,C3,C4
27Q066,54.59,A1,A2,A3,A4
27Q090,47.29,B1,B2,C3,A4
27Q096,45.49,B1,B2,C3,A4
27Q097,53.41,A1,B2,B3,A4
27Q100,41.88,B1,C2,C3,B4
27Q104,57.66,C1,B2,D3,B4
27Q105,57.54,C1,C2,F3,F4
27Q106,58.88,B1,D2,C3,B4
27Q108,31.13,A1,A2,C3,A4
27Q114,11.12,B1,B2,C3,C4
27Q123,52.54,B1,B2,D3,B4
27Q124,39.08,C1,A2,C3,C4
27Q137,3.1,B1,D2,C3,B4
27Q146,28.28,B1,B2,F3,B4
27Q155,49.09,C1,B2,D3,C4
27Q183,59.07,B1,A2,C3,B4
27Q197,65.72,A1,C2,C3,A4
27Q202,3.07,B1,B2,C3,B4
27Q207,19.26,A1,B2,B3,B4
27Q210,3.05,C1,D2,C3,C4
27Q215,64.12,D1,C2,F3,C4
27Q223,52.03,B1,C2,C3,B4
27Q226,2.77,C1,C2,C3,C4
27Q232,30.63,A1,A2,B3,B4
27Q253,64.09,C1,B2,D3,C4
27Q254,51.8,A1,A2,A3,A4
27Q260,2.45,C1,F2,B3,C4
27Q262,2.91,A1,A2,A3,A4
27Q262,3.16,B1,A2,C3,A4
27Q282,3.07,C1,B2,F3,D4
27Q309,2.86,D1,B2,D3,F4
27Q323,4,A1,B2,A3,A4
27Q333,56.3,C1,A2,B3,D4
27Q400,2.13,C1,C2,D3,C4
27Q410,2.05,F1,D2,F3,F4
27Q475,2.38,C1,D2,F3,B4
27Q480,2.32,B1,C2,F3,C4
27Q487,,A1,B2,A3,A4
27Q650,3.21,A1,C2,B3,A4
28Q008,2.31,C1,C2,C3,C4
28Q030,53.29,D1,C2,F3,C4
28Q040,58.43,D1,C2,D3,C4
28Q048,53.84,C1,D2,F3,C4
28Q050,54.97,B1,F2,C3,B4
28Q054,46.28,C1,B2,D3,C4
28Q055,39.48,C1,C2,F3,B4
28Q072,2.74,C1,C2,C3,B4
28Q080,56.76,C1,B2,D3,C4
28Q082,53.27,B1,A2,B3,B4
28Q086,48.22,B1,C2,D3,B4
28Q099,38.66,A1,B2,B3,A4
28Q101,14.66,B1,B2,C3,B4
28Q117,38.31,B1,B2,C3,B4
28Q121,40.19,A1,B2,B3,A4
28Q139,27.27,C1,B2,C3,C4
28Q140,55.74,C1,C2,D3,B4
28Q144,19.51,B1,B2,C3,A4
28Q157,2.99,A1,B2,B3,A4
28Q160,57.13,B1,C2,D3,B4
28Q161,38.18,A1,A2,B3,A4
28Q174,23.31,B1,D2,D3,A4
28Q175,29.73,A1,B2,B3,A4
28Q182,51.73,D1,C2,F3,C4
28Q190,3.18,C1,D2,B3,C4
28Q196,13.79,A1,A2,A3,A4
28Q206,43.18,C1,F2,D3,B4
28Q217,2.86,B1,C2,C3,B4
28Q220,36.37,A1,B2,D3,A4
28Q284,3.29,B1,A2,C3,B4
28Q440,2.87,A1,D2,B3,B4
28Q470,2.26,D1,C2,F3,C4
28Q505,2.57,C1,A2,D3,C4
28Q620,2.89,A1,B2,A3,B4
28Q680,3.54,B1,D2,A3,A4
28Q680,3.76,B1,C2,B3,B4
28Q687,3.89,A1,B2,A3,B4
28Q690,2.59,B1,C2,B3,C4
28Q896,3,C1,C2,C3,C4
29Q015,53.23,C1,B2,D3,D4
29Q033,36.88,C1,A2,D3,F4
29Q034,59.68,B1,A2,B3,B4
29Q035,45.15,D1,F2,D3,F4
29Q036,52.43,D1,B2,F3,D4
29Q037,49.84,C1,C2,F3,F4
29Q038,54.74,B1,A2,D3,B4
29Q052,55.77,A1,C2,C3,A4
29Q059,2.76,C1,D2,D3,D4
29Q095,44.57,B1,D2,C3,A4
29Q109,2.93,C1,C2,C3,B4
29Q116,55.23,C1,C2,F3,D4
29Q118,56.18,C1,F2,D3,F4
29Q131,36.48,B1,A2,B3,C4
29Q132,49.25,C1,B2,C3,C4
29Q134,57.38,B1,B2,D3,A4
29Q135,44.08,C1,B2,D3,B4
29Q136,52.88,B1,C2,F3,B4
29Q138,54.01,C1,F2,D3,C4
29Q147,48.63,D1,C2,F3,D4
29Q156,48.35,C1,D2,F3,C4
29Q176,55.38,C1,A2,B3,D4
29Q181,53.11,C1,D2,F3,F4
29Q192,2.56,B1,A2,D3,C4
29Q195,56.72,D1,A2,D3,F4
29Q208,40.43,B1,A2,C3,C4
29Q231,2.55,D1,B2,D3,D4
29Q238,2.92,C1,B2,D3,B4
29Q248,2.43,A1,C2,B3,A4
29Q251,48.19,C1,B2,C3,B4
29Q259,2.54,A1,B2,A3,A4
29Q259,2.92,C1,B2,C3,D4
29Q265,2.34,A1,B2,A3,B4
29Q268,46.09,B1,B2,C3,B4
29Q270,48.66,C1,A2,C3,D4
29Q272,2.6,A1,B2,B3,A4
29Q283,2.55,B1,B2,B3,B4
29Q283,2.56,C1,B2,C3,D4
29Q295,40.79,B1,A2,B3,B4
29Q492,2.61,C1,F2,C3,C4
29Q494,2.3,D1,F2,C3,F4
29Q496,2.15,D1,D2,D3,C4
29Q498,2.48,C1,C2,A3,D4
30Q002,38.18,A1,B2,C3,A4
30Q010,2.95,B1,B2,C3,B4
30Q011,39.72,B1,B2,C3,B4
30Q017,50.33,C1,B2,F3,D4
30Q069,36.22,A1,B2,B3,A4
30Q070,38.9,C1,C2,C3,C4
30Q076,59.68,A1,C2,C3,A4
30Q078,37.45,B1,A2,C3,C4
30Q084,41.65,C1,B2,D3,C4
30Q085,38.05,C1,B2,C3,C4
30Q092,66.53,A1,A2,C3,A4
30Q111,60.14,C1,B2,F3,F4
30Q112,53.85,B1,C2,D3,B4
30Q122,29.83,A1,B2,A3,A4
30Q126,2.43,C1,B2,D3,B4
30Q127,58.66,B1,D2,C3,B4
30Q141,3.05,A1,A2,B3,A4
30Q145,2.93,B1,A2,C3,B4
30Q148,54.26,B1,A2,C3,B4
30Q149,57.58,B1,A2,B3,B4
30Q150,41.36,B1,B2,B3,C4
30Q151,52.44,C1,D2,D3,B4
30Q152,42.76,A1,B2,C3,A4
30Q166,48.46,B1,A2,C3,B4
30Q171,53.97,C1,B2,D3,D4
30Q204,2.65,A1,B2,C3,A4
30Q212,51.86,B1,A2,C3,B4
30Q222,52.99,A1,A2,A3,A4
30Q227,3.22,A1,B2,B3,B4
30Q228,59.66,A1,A2,A3,A4
30Q230,3.01,A1,B2,B3,A4
30Q234,43.3,A1,A2,B3,A4
30Q235,2.58,A1,A2,F3,A4
30Q286,3.32,A1,A2,B3,A4
30Q445,2.41,C1,C2,D3,C4
30Q450,2.47,C1,D2,C3,C4
30Q501,3.38,A1,D2,A3,A4
30Q502,2.45,A1,A2,B3,B4
30Q555,2.22,A1,A2,A3,B4
30Q575,3.03,A1,B2,A3,B4
30Q580,3.58,A1,C2,A3,A4
30Q580,3.93,B1,B2,A3,B4
31R001,16.76,B1,A2,C3,B4
31R002,2.75,C1,C2,C3,C4
31R003,12.69,C1,C2,F3,B4
31R004,20.31,C1,C2,F3,D4
31R005,9.85,C1,A2,C3,D4
31R006,17.3,C1,B2,D3,C4
31R007,3.22,B1,B2,B3,B4
31R008,22.21,A1,A2,B3,A4
31R011,41.72,B1,B2,F3,B4
31R013,43.71,C1,B2,C3,C4
31R014,60.13,C1,F2,F3,D4
31R016,60.48,C1,C2,F3,B4
31R018,63.37,B1,B2,C3,B4
31R019,52.86,B1,B2,C3,B4
31R020,63.76,C1,A2,D3,F4
31R021,55.61,A1,A2,D3,A4
